election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,203 - SECOND WARD THIRD PRECINCT,43,0,200,28,3,274,1228,151,1379,22%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,204 - SECOND WARD FOURTH PRECINCT,30,0,206,31,4,271,1113,105,1218,24%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,301 - THIRD WARD FIRST PRECINCT,79,0,299,32,11,421,1233,155,1388,34%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,302 - THIRD WARD SECOND PRECINCT,2,0,214,0,0,216,2246,2177,4423,10%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,303 - THIRD WARD THIRD PRECINCT,76,0,417,72,8,573,1816,201,2017,32%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,304 - THIRD WARD FOURTH PRECINCT,87,0,477,47,11,622,1750,193,1943,36%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,305 - THIRD WARD FIFTH PRECINCT,197,0,913,115,17,1242,3751,532,4283,33%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,401 - FOURTH WARD FIRST PRECINCT,340,0,1127,163,38,1668,4868,548,5416,34%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,402 - FOURTH WARD SECOND PRECINCT,113,0,492,71,5,681,1649,149,1798,41%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,403 - FOURTH WARD THIRD PRECINCT,178,0,824,82,22,1106,3515,422,3937,31%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,404 - FOURTH WARD FOURTH PRECINCT,346,0,945,158,27,1476,3460,257,3717,43%
2023 November General and Special Elections,11/7/2023 0:00,LYNCHBURG CITY,LYNCHBURG CITY PROVISIONALS,,0,0,,,0,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,001 - OAK PARK,83,,398,28,1,510,1213,64,1277,42%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,002 - RADIANT,170,1,550,38,6,765,1753,65,1818,44%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,003 - ROCHELLE,62,,302,16,3,383,818,31,849,47%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,004 - GRAVES MILL,6,,37,3,,46,86,2,88,53%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,005 - MADISON,195,1,534,38,3,771,1887,73,1960,41%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,006 - WOLFTOWN,78,,352,16,2,448,1001,37,1038,45%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,007 - BRIGHTWOOD,187,3,605,41,4,840,1921,73,1994,44%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,008 - CRIGLERSVILLE,102,1,270,20,1,394,837,37,874,47%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,009 - ETLAN,78,2,176,18,,274,530,15,545,52%
2023 November General and Special Elections,11/7/2023 0:00,MADISON COUNTY,MADISON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,001 - DEAN,438,24,804,183,8,1457,3664,451,4115,40%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,002 - WEEMS,439,24,981,221,4,1669,3976,401,4377,42%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,003 - METZ,567,18,1012,266,7,1870,3878,407,4285,48%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,004 - HAYDON,468,14,930,203,1,1616,3564,331,3895,45%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,005 - BALDWIN,513,17,827,179,3,1539,3525,408,3933,44%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,006 - ROUND,539,8,818,223,6,1594,2935,233,3168,54%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS CITY,MANASSAS CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS PARK CITY,001 - PRECINCT ONE,354,21,684,180,19,1258,3008,340,3348,42%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS PARK CITY,002 - PRECINCT TWO,198,9,569,109,6,891,2625,200,2825,34%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS PARK CITY,003 - PRECINCT THREE,369,18,607,143,7,1144,2615,277,2892,44%
2023 November General and Special Elections,11/7/2023 0:00,MANASSAS PARK CITY,MANASSAS PARK CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,001 - PRECINCT #1,21,1,161,46,,229,820,81,901,28%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,002 - PRECINCT #2,53,3,302,68,,426,1733,266,1999,25%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,003 - PRECINCT #3,31,2,168,36,1,238,1209,179,1388,20%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,004 - PRECINCT #4,50,3,295,77,,425,1809,234,2043,23%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,005 - PRECINCT #5,113,,525,82,,720,2132,169,2301,34%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,006 - PRECINCT #6,14,,84,11,,109,384,60,444,28%
2023 November General and Special Elections,11/7/2023 0:00,MARTINSVILLE CITY,MARTINSVILLE CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MATHEWS COUNTY,001 - CHESAPEAKE,485,6,465,46,,1002,1614,70,1684,62%
2023 November General and Special Elections,11/7/2023 0:00,MATHEWS COUNTY,002 - WESTVILLE,832,3,693,70,,1598,2500,102,2602,64%
2023 November General and Special Elections,11/7/2023 0:00,MATHEWS COUNTY,003 - PIANKATANK,1002,3,783,73,1,1862,3001,115,3116,62%
2023 November General and Special Elections,11/7/2023 0:00,MATHEWS COUNTY,MATHEWS COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,101 - PALMER SPRINGS,40,1,240,19,0,300,847,35,882,35%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,102 - ANTIOCH CHURCH,16,1,107,6,0,130,301,20,321,43%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,103 - CLARKSVILLE SOUTH,74,5,344,33,0,456,1277,53,1330,36%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,201 - CHASE CITY,102,7,427,63,0,599,1742,98,1840,34%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,202 - BLUESTONE,39,2,98,7,0,146,387,16,403,38%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,301 - BRACEY,51,5,434,48,1,539,1503,91,1594,36%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,302 - LACROSSE,23,,241,21,,285,1014,47,1061,28%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,401 - SOUTH HILL WEST,113,4,487,89,0,693,2272,151,2423,31%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,501 - SOUTH HILL EAST,116,7,543,73,1,740,2273,142,2415,33%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,601 - BASKERVILLE,46,,162,10,,218,582,33,615,37%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,602 - UNION LEVEL,12,2,138,9,0,161,447,24,471,36%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,603 - SMITH CROSSROADS,46,,193,13,,252,619,18,637,41%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,604 - LAKE GASTON,43,,196,24,,263,955,73,1028,28%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,701 - MIDWAY,77,,113,20,,210,523,38,561,40%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,702 - WILLIAMS GROVE,95,1,255,31,,382,957,54,1011,40%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,703 - CHASE CITY EAST,67,,219,25,,311,827,40,867,38%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,801 - BOYDTON,132,2,148,12,0,294,639,29,668,46%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,802 - CLARKSVILLE VFW,127,1,329,33,0,490,1181,50,1231,41%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,803 - CHASE CITY WEST,67,1,211,29,0,308,803,37,840,38%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,901 - NELSON,16,,115,6,,137,360,11,371,38%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,902 - BUFFALO JUNCTION,37,1,235,7,0,280,635,23,658,44%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,903 - CLARKSVILLE NORTH,198,4,530,56,1,789,1625,101,1726,49%
2023 November General and Special Elections,11/7/2023 0:00,MECKLENBURG COUNTY,MECKLENBURG COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,101 - SALUDA,79,2,206,10,,297,620,80,700,48%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,102 - URBANNA,104,3,362,23,2,494,924,55,979,53%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,201 - NEW MARKET,230,7,770,63,1,1071,1774,84,1858,60%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,302 - CHURCH VIEW,176,6,566,47,3,798,1554,105,1659,51%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,401- HARMONY VILLAGE,179,3,517,46,4,749,1590,145,1735,47%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,501 - WILTON,165,12,670,50,,897,1698,91,1789,53%
2023 November General and Special Elections,11/7/2023 0:00,MIDDLESEX COUNTY,MIDDLESEX COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,101 - PRECINCT A-1,289,8,959,203,7,1466,2164,129,2293,68%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,102 - PRECINCT A-2,274,54,721,163,11,1223,2295,372,2667,53%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,103 - PRECINCT A-3,,32,31,,,63,73,170,243,86%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,104 - PRECINCT A-4 ,278,31,742,177,6,1234,2369,308,2677,52%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,105 - PRECINCT A-5,292,8,643,164,6,1113,1806,120,1926,62%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,201 - PRECINCT B-1,103,,243,19,,365,769,43,812,47%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,202 - PRECINCT B-2,431,4,798,138,,1371,2486,195,2681,55%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,203 - PRECINCT B-3,98,7,317,30,,452,1157,90,1247,39%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,204 - PRECINCT B-4,439,10,880,138,11,1478,3093,283,3376,48%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,205 - PRECINCT B-5,330,5,539,84,6,964,2126,194,2320,45%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,301 - PRECINCT C-1,240,7,945,68,,1260,2959,160,3119,43%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,302 - PRECINCT C-2,199,5,408,64,1,677,1287,61,1348,53%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,303 - PRECINCT C-3,95,1,459,37,4,596,1232,44,1276,48%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,304 - PRECINCT C-4,238,11,585,106,1,941,2511,265,2776,37%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,305 - PRECINCT C-5,241,6,520,67,1,835,1548,161,1709,54%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,401 - PRECINCT D-1,427,11,804,89,2,1333,2930,148,3078,45%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,402 - PRECINCT D-2,425,5,1243,97,4,1774,3018,82,3100,59%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,403 - PRECINCT D-3,472,3,827,122,3,1427,2942,211,3153,49%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,404 - PRECINCT D-4,140,5,524,54,5,728,1296,32,1328,56%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,501 - PRECINCT E-1,313,21,578,159,3,1074,2479,247,2726,43%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,502 - PRECINCT E-2,163,9,795,60,1,1028,1760,76,1836,58%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,503 - PRECINCT E-3,3,303,224,6,1,537,598,555,1153,90%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,504 - PRECINCT E-4,48,6,136,49,,239,548,82,630,44%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,601 - PRECINCT F-1,325,48,807,225,7,1412,2468,250,2718,57%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,602 - PRECINCT F-2,202,53,747,169,8,1179,2668,462,3130,44%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,603 - PRECINCT F-3,1,117,71,,,189,270,440,710,70%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,701 - PRECINCT G-1,82,123,514,65,,784,2462,561,3023,32%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,702 - PRECINCT G-2,144,69,498,123,2,836,1974,293,2267,42%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,703 - PRECINCT G-3 ,182,34,690,134,5,1045,1763,328,2091,59%
2023 November General and Special Elections,11/7/2023 0:00,MONTGOMERY COUNTY,MONTGOMERY COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,101 - ROCKFISH,125,7,1028,82,4,1246,2133,88,2221,58%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,201 - LOVINGSTON,211,5,491,45,0,752,1354,59,1413,56%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,202 - SCHUYLER,90,3,328,40,0,461,865,31,896,53%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,301 - SHIPMAN,263,7,619,71,2,962,1802,56,1858,53%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,302 - GLADSTONE,15,,117,6,1,139,302,15,317,46%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,401 - ROSELAND,217,4,762,69,3,1055,1878,78,1956,56%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,402 - MONTEBELLO,10,,73,8,,91,168,12,180,54%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,501 - FABER,125,7,351,27,1,511,816,30,846,63%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,502 - NELLYSFORD,243,9,902,128,8,1290,2027,129,2156,64%
2023 November General and Special Elections,11/7/2023 0:00,NELSON COUNTY,NELSON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,102 - TUNSTALL,85,2,604,24,2,717,1436,45,1481,50%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,103 - SOUTHERN BRANCH,198,3,789,38,4,1032,1986,63,2049,52%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,201 - QUINTON,175,9,971,82,5,1242,2327,105,2432,53%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,202 - KENTWOOD,64,5,512,21,3,605,1229,41,1270,49%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,301 - WATKINS,245,20,995,94,3,1357,2661,61,2722,51%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,302 - CUMBERLAND,196,3,555,53,2,809,1570,55,1625,52%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,401 - PROVIDENCE FORGE,473,18,970,161,8,1630,2897,135,3032,56%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,403 - MOUNTCASTLE,67,1,380,38,1,487,1048,46,1094,46%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,501 - ELTHAM,155,4,586,94,4,843,1549,64,1613,54%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,502 - CHICKAHOMINY RIVER,202,12,807,62,4,1087,2017,63,2080,54%
2023 November General and Special Elections,11/7/2023 0:00,NEW KENT COUNTY,NEW KENT COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,101 - DENBIGH,237,27,1057,168,15,1504,4065,525,4590,37%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,102 - STONEY RUN,181,16,949,166,12,1324,4348,709,5057,30%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,104 - MCINTOSH,128,15,765,105,7,1020,2862,314,3176,36%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,106 - RESERVOIR,140,14,544,68,14,780,2753,786,3539,28%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,107 - RICHNECK,360,18,1280,233,27,1918,4150,412,4562,46%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,108 - KATHERINE JOHNSON,74,12,368,51,7,512,1242,148,1390,41%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,109 - WINDSOR,118,5,618,72,3,816,2081,270,2351,39%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,110 - GREENWOOD,192,14,969,166,14,1355,3789,530,4319,36%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,111 - STONEYBROOK,234,21,1007,234,17,1513,4084,755,4839,37%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,112 - KNOLLWOOD MEADOWS,311,9,1520,226,23,2089,3987,359,4346,52%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,113 - SANFORD,99,5,607,74,2,787,1303,78,1381,60%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,201 - BLAND,41,5,165,39,2,252,869,257,1126,29%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,202 - BOULEVARD,189,6,837,78,11,1121,2381,242,2623,47%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,203 - CHARLES,314,9,1518,200,15,2056,4036,310,4346,51%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,204 - MARINERS' MUSEUM,149,51,497,109,4,810,1734,350,2084,47%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,205 - DEEP CREEK,321,15,1265,163,10,1774,2918,185,3103,61%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,208 - HIDENWOOD,201,5,787,87,13,1093,1657,128,1785,66%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,211 - PALMER,151,8,618,75,6,858,3458,672,4130,25%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,212 - RIVERSIDE,109,7,743,69,9,937,1429,101,1530,66%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,216 - YATES,296,19,946,216,16,1493,2924,339,3263,51%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,217 - RIVERVIEW,293,10,958,162,12,1435,2483,165,2648,58%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,218 - KILN CREEK,251,11,1123,255,15,1655,4360,563,4923,38%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,219 - DEER PARK,264,17,693,148,11,1133,4123,904,5027,27%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,220 -JENKINS,163,11,1009,156,17,1356,3679,701,4380,37%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,302 - BRIARFIELD,67,7,414,110,11,609,2691,398,3089,23%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,303 - CARVER,34,3,307,62,1,407,1692,251,1943,24%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,304 - CHESTNUT,29,9,214,37,,289,1243,137,1380,23%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,305 - DOWNTOWN,31,3,120,11,1,166,902,192,1094,18%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,308 - JEFFERSON,39,,165,21,8,233,1134,140,1274,21%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,309 - MAGRUDER,45,4,231,61,2,343,1193,116,1309,29%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,310 - MARSHALL,38,1,253,82,5,379,1546,167,1713,25%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,311 - NEWMARKET,115,7,649,106,11,888,3021,236,3257,29%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,312 - NEWSOME PARK,17,,129,25,2,173,859,148,1007,20%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,313 - REED,109,6,437,96,6,654,2411,280,2691,27%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,314 - RIVER,106,9,455,77,9,656,1527,191,1718,43%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,315 - SEDGEFIELD,79,3,580,38,3,703,2077,179,2256,34%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,316 - SOUTH MORRISON,110,7,555,68,12,752,2608,441,3049,29%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,317 - WASHINGTON,36,4,261,28,7,336,1466,166,1632,23%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,318 - WILSON,46,4,291,36,3,380,1180,145,1325,32%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,319 - SAUNDERS,145,10,830,139,15,1139,3777,483,4260,30%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,320 - WATKINS,219,17,1099,116,14,1465,4544,489,5033,32%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,321 - HILTON,240,14,987,122,16,1379,2261,174,2435,61%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,322 - WARWICK,110,4,506,55,6,681,1679,239,1918,41%
2023 November General and Special Elections,11/7/2023 0:00,NEWPORT NEWS CITY,NEWPORT NEWS CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,101 - GRANBY,165,21,858,205,15,1264,3696,497,4193,34%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,102 - OCEAN VIEW SCHOOL,149,11,377,78,9,624,1734,264,1998,36%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,103 - NORTHSIDE,117,5,722,119,14,977,2264,253,2517,43%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,104 - TITUSTOWN ,44,9,323,63,7,446,1976,340,2316,23%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,106 - SECOND PRESBYTERIAN,186,14,918,184,14,1316,3362,414,3776,39%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,107 - WESLEY,62,12,486,83,11,654,2513,279,2792,26%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,201 - LARCHMONT SCHOOL,158,24,778,124,14,1098,2586,312,2898,42%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,203 - GHENT SQUARE,75,11,448,80,9,623,1460,206,1666,43%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,207 - LAMBERT'S POINT,105,23,506,84,13,731,3172,573,3745,23%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,208 - LARCHMONT LIBRARY,189,5,712,112,7,1025,1708,80,1788,60%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,210 - MAURY,128,20,747,142,15,1052,2500,355,2855,42%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,211 - CHRYSLER MUSEUM,265,17,916,238,29,1465,3586,584,4170,41%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,212 - PARK PLACE,46,5,429,50,10,540,2156,322,2478,25%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,213 - TAYLOR ELEMENTARY SCHOOL,121,21,1013,150,21,1326,2752,294,3046,48%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,214 - VIRGINIA ZOO,144,12,925,156,16,1253,2775,292,3067,45%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,215 - SUBURBAN PARK,94,8,708,129,8,947,2124,172,2296,45%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,218 - WILLARD,242,9,1135,238,21,1645,3453,242,3695,48%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,301 - BALLENTINE,117,5,507,116,14,759,2740,307,3047,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,302 - TANNERS CREEK,46,4,318,68,6,442,1782,281,2063,25%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,303 - BROAD CREEK,133,3,634,151,11,932,3040,270,3310,31%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,304 - COLEMAN PLACE SCHOOL,41,9,331,56,4,441,1565,167,1732,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,305 - LAFAYETTE-WINONA,63,8,485,132,14,702,2076,173,2249,34%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,306 - LINDENWOOD,61,6,381,82,9,539,1713,199,1912,31%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,309 - NORVIEW,144,9,846,220,27,1246,4511,477,4988,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,310 - ROSEMONT,134,16,740,189,14,1093,3774,391,4165,29%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,311 - SHERWOOD,131,10,893,168,20,1222,4550,440,4990,27%
